gene	disease
uniprotkb:A0A090N7S2	Cancer
uniprotkb:O75508	Leukodystrophy
uniprotkb:Q969Z4	Amelogenesis imperfecta
uniprotkb:F5H2T5	Amelogenesis imperfecta
uniprotkb:A0A024R5N3	Amelogenesis imperfecta
uniprotkb:F5GYS9	Amelogenesis imperfecta
uniprotkb:Q99959	Arrhythmogenic right ventricular cardiomyopathy
uniprotkb:Q99959	Cardiomyopathy
uniprotkb:Q6J9G0	Cancer
uniprotkb:F5H2I9	Cancer
uniprotkb:F5H366	Cancer
uniprotkb:F5H4G3	Cancer
uniprotkb:F5GZF6	Cancer
uniprotkb:P51787	Familial atrial fibrillation
uniprotkb:A0A2R8YDV1	Familial atrial fibrillation
uniprotkb:P51787	Familial atrial fibrillation
uniprotkb:A0A2R8YDV1	Familial atrial fibrillation
uniprotkb:P51787	Long QT syndrome
uniprotkb:A0A2R8YDV1	Long QT syndrome
uniprotkb:P51787	Long QT syndrome
uniprotkb:A0A2R8YDV1	Long QT syndrome
uniprotkb:P51787	Diabetes mellitus
uniprotkb:A0A2R8YDV1	Diabetes mellitus
uniprotkb:O94805	Epilepsy
uniprotkb:C9JQT4	Epilepsy
uniprotkb:F5H061	Amyloidosis
uniprotkb:F5GWJ4	Amyloidosis
uniprotkb:F5H4T5	Amyloidosis
uniprotkb:F5H8A6	Amyloidosis
uniprotkb:P19438	Amyloidosis
uniprotkb:F5H6V7	Amyloidosis
uniprotkb:F5H6Z2	Amyloidosis
uniprotkb:F5H7N1	Amyloidosis
uniprotkb:A0A8V8TLL5	Amyloidosis
uniprotkb:P11217	Glycogen storage disease
uniprotkb:P20749	Cancer
uniprotkb:Q92521	Epilepsy
uniprotkb:H3BQU3	Epilepsy
uniprotkb:H3BS45	Epilepsy
uniprotkb:H3BNW7	Epilepsy
uniprotkb:H3BRK6	Epilepsy
uniprotkb:F5H1S1	Epilepsy
uniprotkb:O95633	Cancer
uniprotkb:K7EM71	Cancer
uniprotkb:A0A024R1Y8	Cancer
uniprotkb:A0A087WTD3	Cancer
uniprotkb:A0A087X1Q2	Cancer
uniprotkb:P02533	Primary cutaneous amyloidosis
uniprotkb:P02533	Epidermolysis bullosa
uniprotkb:P02533	Palmoplantar keratosis
uniprotkb:Q99714	Neurodegenerative disease
uniprotkb:A0A0S2Z410	Neurodegenerative disease
uniprotkb:Q5H928	Neurodegenerative disease
uniprotkb:A0A804HHW5	Neurodegenerative disease
uniprotkb:P08620	Cancer
uniprotkb:A0A7U3JW12	Cancer
uniprotkb:Q14145	Lung cancer
uniprotkb:A0A024R7C0	Lung cancer
uniprotkb:K7ESE0	Lung cancer
uniprotkb:K7EJ49	Lung cancer
uniprotkb:K7EJD8	Lung cancer
uniprotkb:P21917	Opiate dependence
uniprotkb:Q9UL17	Asthma
uniprotkb:A0A2R8Y4M1	Nonsyndromic deafness
uniprotkb:Q9NZA1	Nonsyndromic deafness
uniprotkb:Q53G01	Nonsyndromic deafness
uniprotkb:A0A5F9ZHK1	Nonsyndromic deafness
uniprotkb:A0A2R8Y615	Nonsyndromic deafness
uniprotkb:A0A2R8YGW2	Nonsyndromic deafness
uniprotkb:A0A2R8Y4M1	Nonsyndromic deafness
uniprotkb:Q9NZA1	Nonsyndromic deafness
uniprotkb:Q53G01	Nonsyndromic deafness
uniprotkb:A0A5F9ZHK1	Nonsyndromic deafness
uniprotkb:A0A2R8Y615	Nonsyndromic deafness
uniprotkb:A0A2R8YGW2	Nonsyndromic deafness
uniprotkb:A0A0A0MSP4	Osteopetrosis
uniprotkb:A0A8V8TNF1	Osteopetrosis
uniprotkb:A0A8V8TQ75	Osteopetrosis
uniprotkb:Q86WC4	Osteopetrosis
uniprotkb:A0A8V8TNF7	Osteopetrosis
uniprotkb:A0A8V8TNX2	Osteopetrosis
uniprotkb:A0A8V8TPT7	Osteopetrosis
uniprotkb:A0A8V8TNK5	Osteopetrosis
uniprotkb:A0A8V8TPT2	Osteopetrosis
uniprotkb:A0A8V8TNX7	Osteopetrosis
uniprotkb:A0A8V8TQ80	Osteopetrosis
uniprotkb:A0A0A0MSP4	Osteopetrosis
uniprotkb:A0A8V8TNF1	Osteopetrosis
uniprotkb:A0A8V8TQ75	Osteopetrosis
uniprotkb:Q86WC4	Osteopetrosis
uniprotkb:A0A8V8TNF7	Osteopetrosis
uniprotkb:A0A8V8TNX2	Osteopetrosis
uniprotkb:A0A8V8TPT7	Osteopetrosis
uniprotkb:A0A8V8TNK5	Osteopetrosis
uniprotkb:A0A8V8TPT2	Osteopetrosis
uniprotkb:A0A8V8TNX7	Osteopetrosis
uniprotkb:A0A8V8TQ80	Osteopetrosis
uniprotkb:F1T0J3	Retinitis pigmentosa
uniprotkb:Q9BZV3	Retinitis pigmentosa
uniprotkb:F1T0J3	Retinitis pigmentosa
uniprotkb:Q9BZV3	Retinitis pigmentosa
uniprotkb:Q02809	Ehlers-Danlos syndrome
uniprotkb:Q5JXB7	Ehlers-Danlos syndrome
uniprotkb:Q5JXB8	Ehlers-Danlos syndrome
uniprotkb:Q02809	Ehlers-Danlos syndrome
uniprotkb:Q5JXB7	Ehlers-Danlos syndrome
uniprotkb:Q5JXB8	Ehlers-Danlos syndrome
uniprotkb:C9JG62	Primary ciliary dyskinesia
uniprotkb:C9JIT0	Primary ciliary dyskinesia
uniprotkb:Q8N427	Primary ciliary dyskinesia
uniprotkb:F8WEA2	Primary ciliary dyskinesia
uniprotkb:C9JG62	Primary ciliary dyskinesia
uniprotkb:C9JIT0	Primary ciliary dyskinesia
uniprotkb:Q8N427	Primary ciliary dyskinesia
uniprotkb:F8WEA2	Primary ciliary dyskinesia
uniprotkb:P40199	Cancer
uniprotkb:M0QYD3	Cancer
uniprotkb:P16144	Epidermolysis bullosa
uniprotkb:A0A024R8T0	Epidermolysis bullosa
uniprotkb:J3QQL2	Epidermolysis bullosa
uniprotkb:A0A024R8K7	Epidermolysis bullosa
uniprotkb:Q9H015	Crohn's disease
uniprotkb:H3BRJ9	Age related macular degeneration
uniprotkb:P11597	Age related macular degeneration
uniprotkb:A0A0S2Z3F6	Age related macular degeneration
uniprotkb:A0A0S2Z3I8	Age related macular degeneration
uniprotkb:O95932	Neurodegenerative disease
uniprotkb:O95932	Autosomal dominant cerebellar ataxia
uniprotkb:Q9Y6E7	Cancer
uniprotkb:F5H4X9	Cancer
uniprotkb:F8WER5	Parkinson's disease
uniprotkb:P31930	Parkinson's disease
uniprotkb:F8WEF1	Parkinson's disease
uniprotkb:F8WER5	Neuropathy
uniprotkb:P31930	Neuropathy
uniprotkb:F8WEF1	Neuropathy
uniprotkb:H0YMB7	Neurodegenerative disease
uniprotkb:H0YKM6	Neurodegenerative disease
uniprotkb:H0YKB0	Neurodegenerative disease
uniprotkb:Q9NZD8	Neurodegenerative disease
uniprotkb:H0YML6	Neurodegenerative disease
uniprotkb:H3BRR0	Neurodegenerative disease
uniprotkb:H0YLW1	Neurodegenerative disease
uniprotkb:H0YLT5	Neurodegenerative disease
uniprotkb:A0A024R5Y1	Neurodegenerative disease
uniprotkb:H0YLD7	Neurodegenerative disease
uniprotkb:H0YMB7	Hereditary spastic paraplegia
uniprotkb:H0YKM6	Hereditary spastic paraplegia
uniprotkb:H0YKB0	Hereditary spastic paraplegia
uniprotkb:Q9NZD8	Hereditary spastic paraplegia
uniprotkb:H0YML6	Hereditary spastic paraplegia
uniprotkb:H3BRR0	Hereditary spastic paraplegia
uniprotkb:H0YLW1	Hereditary spastic paraplegia
uniprotkb:H0YLT5	Hereditary spastic paraplegia
uniprotkb:A0A024R5Y1	Hereditary spastic paraplegia
uniprotkb:H0YLD7	Hereditary spastic paraplegia
uniprotkb:P98172	Craniosynostosis
uniprotkb:E9PEX6	Leigh disease
uniprotkb:F8WDY5	Leigh disease
uniprotkb:F2Z2E3	Leigh disease
uniprotkb:P09622	Leigh disease
uniprotkb:A0A024R713	Leigh disease
uniprotkb:F8WDM5	Leigh disease
uniprotkb:Q9NPF4	Epilepsy
uniprotkb:G3V445	Epilepsy
uniprotkb:H0YMQ8	Autosomal recessive congenital ichthyosis
uniprotkb:H0YLJ6	Autosomal recessive congenital ichthyosis
uniprotkb:P22735	Autosomal recessive congenital ichthyosis
uniprotkb:H0YN27	Autosomal recessive congenital ichthyosis
uniprotkb:H0YLT9	Autosomal recessive congenital ichthyosis
uniprotkb:H0YKI6	Autosomal recessive congenital ichthyosis
uniprotkb:H0YNM4	Autosomal recessive congenital ichthyosis
uniprotkb:P18206	Cardiomyopathy
uniprotkb:V9HWK2	Cardiomyopathy
uniprotkb:A0A024QZN4	Cardiomyopathy
uniprotkb:A0A096LPE1	Cardiomyopathy
uniprotkb:P18206	Familial hypertrophic cardiomyopathy
uniprotkb:V9HWK2	Familial hypertrophic cardiomyopathy
uniprotkb:A0A024QZN4	Familial hypertrophic cardiomyopathy
uniprotkb:A0A096LPE1	Familial hypertrophic cardiomyopathy
uniprotkb:P18206	Dilated cardiomyopathy
uniprotkb:V9HWK2	Dilated cardiomyopathy
uniprotkb:A0A024QZN4	Dilated cardiomyopathy
uniprotkb:A0A096LPE1	Dilated cardiomyopathy
uniprotkb:P61266	Epilepsy
uniprotkb:C9JAF7	Palmoplantar keratosis
uniprotkb:O95721	Palmoplantar keratosis
uniprotkb:C9JAF7	Neuropathy
uniprotkb:O95721	Neuropathy
uniprotkb:P14174	Juvenile rheumatoid arthritis
uniprotkb:I4AY87	Juvenile rheumatoid arthritis
uniprotkb:P14174	Alopecia areata
uniprotkb:I4AY87	Alopecia areata
uniprotkb:B1AHR5	Cataract
uniprotkb:P26998	Cataract
uniprotkb:A0A6Q8PGC6	Charcot-Marie-Tooth disease
uniprotkb:Q9Y6X9	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGC6	Charcot-Marie-Tooth disease
uniprotkb:Q9Y6X9	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGC6	Neurodegenerative disease
uniprotkb:Q9Y6X9	Neurodegenerative disease
uniprotkb:A0A6Q8PGC6	Neuropathy
uniprotkb:Q9Y6X9	Neuropathy
uniprotkb:P53007	Congenital myasthenic syndrome
uniprotkb:B4DP62	Congenital myasthenic syndrome
uniprotkb:A0A024R1F0	Cancer
uniprotkb:P17861	Cancer
uniprotkb:B1AHH1	Cancer
uniprotkb:B1AHH2	Cancer
uniprotkb:A0A0C4DFZ2	Leukodystrophy
uniprotkb:Q9NST1	Obesity
uniprotkb:F8W8E5	Obesity
uniprotkb:Q5BKV1	Nonsyndromic deafness
uniprotkb:P35579	Nonsyndromic deafness
uniprotkb:B1AH99	Nonsyndromic deafness
uniprotkb:A0A024R1N1	Nonsyndromic deafness
uniprotkb:A0A8I5KU92	Nonsyndromic deafness
uniprotkb:A0A8I5KWT8	Nonsyndromic deafness
uniprotkb:A0A8I5KYI1	Nonsyndromic deafness
uniprotkb:Q5BKV1	Nonsyndromic deafness
uniprotkb:P35579	Nonsyndromic deafness
uniprotkb:B1AH99	Nonsyndromic deafness
uniprotkb:A0A024R1N1	Nonsyndromic deafness
uniprotkb:A0A8I5KU92	Nonsyndromic deafness
uniprotkb:A0A8I5KWT8	Nonsyndromic deafness
uniprotkb:A0A8I5KYI1	Nonsyndromic deafness
uniprotkb:Q5BKV1	Alport syndrome
uniprotkb:P35579	Alport syndrome
uniprotkb:B1AH99	Alport syndrome
uniprotkb:A0A024R1N1	Alport syndrome
uniprotkb:A0A8I5KU92	Alport syndrome
uniprotkb:A0A8I5KWT8	Alport syndrome
uniprotkb:A0A8I5KYI1	Alport syndrome
uniprotkb:Q5BKV1	Cataract
uniprotkb:P35579	Cataract
uniprotkb:B1AH99	Cataract
uniprotkb:A0A024R1N1	Cataract
uniprotkb:A0A8I5KU92	Cataract
uniprotkb:A0A8I5KWT8	Cataract
uniprotkb:A0A8I5KYI1	Cataract
uniprotkb:M0QXH0	Neurodegenerative disease
uniprotkb:Q99757	Neurodegenerative disease
uniprotkb:F8WDN2	Neurodegenerative disease
uniprotkb:A0A8V8TMD8	Juvenile rheumatoid arthritis
uniprotkb:H7C1H9	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TMD3	Juvenile rheumatoid arthritis
uniprotkb:P14784	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TP57	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TMF6	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TNV4	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TP62	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TNU9	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TMF2	Juvenile rheumatoid arthritis
uniprotkb:A0A8W6ANL8	Juvenile rheumatoid arthritis
uniprotkb:A0A8V8TMD8	Rheumatoid arthritis
uniprotkb:H7C1H9	Rheumatoid arthritis
uniprotkb:A0A8V8TMD3	Rheumatoid arthritis
uniprotkb:P14784	Rheumatoid arthritis
uniprotkb:A0A8V8TP57	Rheumatoid arthritis
uniprotkb:A0A8V8TMF6	Rheumatoid arthritis
uniprotkb:A0A8V8TNV4	Rheumatoid arthritis
uniprotkb:A0A8V8TP62	Rheumatoid arthritis
uniprotkb:A0A8V8TNU9	Rheumatoid arthritis
uniprotkb:A0A8V8TMF2	Rheumatoid arthritis
uniprotkb:A0A8W6ANL8	Rheumatoid arthritis
uniprotkb:A0A7I2V5W7	Neurodegenerative disease
uniprotkb:A0A7I2V4I8	Neurodegenerative disease
uniprotkb:Q99798	Neurodegenerative disease
uniprotkb:A0A7I2V3U0	Neurodegenerative disease
uniprotkb:A2A274	Neurodegenerative disease
uniprotkb:A0A7I2V586	Neurodegenerative disease
uniprotkb:A0A7I2V5T4	Neurodegenerative disease
uniprotkb:A0A7I2V3F1	Neurodegenerative disease
uniprotkb:A0A7I2V3U7	Neurodegenerative disease
uniprotkb:A0A7I2V614	Neurodegenerative disease
uniprotkb:A0A7I2V3C8	Neurodegenerative disease
uniprotkb:A0A7I2V6A6	Neurodegenerative disease
uniprotkb:A0A7I2V2Y4	Neurodegenerative disease
uniprotkb:A0A7I2V5A1	Neurodegenerative disease
uniprotkb:A0A7I2V538	Neurodegenerative disease
uniprotkb:A0A7I2V5U4	Neurodegenerative disease
uniprotkb:Q9Y587	Neurodegenerative disease
uniprotkb:A0A5F9ZH42	Neurodegenerative disease
uniprotkb:A0A8C8KBR5	Neurodegenerative disease
uniprotkb:A0A5F9ZI62	Neurodegenerative disease
uniprotkb:A0A5F9ZHV3	Neurodegenerative disease
uniprotkb:A0A8C8KCP6	Neurodegenerative disease
uniprotkb:G3V4P7	Neurodegenerative disease
uniprotkb:Q9Y587	Hereditary spastic paraplegia
uniprotkb:A0A5F9ZH42	Hereditary spastic paraplegia
uniprotkb:A0A8C8KBR5	Hereditary spastic paraplegia
uniprotkb:A0A5F9ZI62	Hereditary spastic paraplegia
uniprotkb:A0A5F9ZHV3	Hereditary spastic paraplegia
uniprotkb:A0A8C8KCP6	Hereditary spastic paraplegia
uniprotkb:G3V4P7	Hereditary spastic paraplegia
uniprotkb:Q07890	Noonan syndrome
uniprotkb:G3V5W3	Noonan syndrome
uniprotkb:P06737	Glycogen storage disease
uniprotkb:E9PK47	Glycogen storage disease
uniprotkb:B4DEE2	Epilepsy
uniprotkb:Q14442	Epilepsy
uniprotkb:H0YNL7	Epilepsy
uniprotkb:H0YKZ3	Epilepsy
uniprotkb:H0YLY9	Epilepsy
uniprotkb:H0YMT4	Epilepsy
uniprotkb:O15270	Neurodegenerative disease
uniprotkb:A0A024R6H1	Neurodegenerative disease
uniprotkb:H0YJ96	Neurodegenerative disease
uniprotkb:O15270	Neuropathy
uniprotkb:A0A024R6H1	Neuropathy
uniprotkb:H0YJ96	Neuropathy
uniprotkb:A0A7P0Z4C8	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TAA6	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T838	Pontocerebellar hypoplasia
uniprotkb:H0YJJ9	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T9E5	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TA65	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T9T1	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T977	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TAS8	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T925	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T824	Pontocerebellar hypoplasia
uniprotkb:A0A7P0Z3Z7	Pontocerebellar hypoplasia
uniprotkb:Q99986	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T8N0	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T8M0	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TA07	Pontocerebellar hypoplasia
uniprotkb:H0YJF7	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TB08	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TBB8	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TAI5	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TB15	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TB37	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T9B1	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T814	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TA16	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T9I1	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T9C6	Pontocerebellar hypoplasia
uniprotkb:A0A7P0Z462	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TBE4	Pontocerebellar hypoplasia
uniprotkb:H0YJ50	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T8Z5	Pontocerebellar hypoplasia
uniprotkb:A0A7P0Z445	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T952	Pontocerebellar hypoplasia
uniprotkb:A0A7P0Z4P9	Pontocerebellar hypoplasia
uniprotkb:A0A7P0Z4A4	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T832	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TBI6	Pontocerebellar hypoplasia
uniprotkb:A0A7P0Z4C8	Neurodegenerative disease
uniprotkb:A0A7P0TAA6	Neurodegenerative disease
uniprotkb:A0A7P0T838	Neurodegenerative disease
uniprotkb:H0YJJ9	Neurodegenerative disease
uniprotkb:A0A7P0T9E5	Neurodegenerative disease
uniprotkb:A0A7P0TA65	Neurodegenerative disease
uniprotkb:A0A7P0T9T1	Neurodegenerative disease
uniprotkb:A0A7P0T977	Neurodegenerative disease
uniprotkb:A0A7P0TAS8	Neurodegenerative disease
uniprotkb:A0A7P0T925	Neurodegenerative disease
uniprotkb:A0A7P0T824	Neurodegenerative disease
uniprotkb:A0A7P0Z3Z7	Neurodegenerative disease
uniprotkb:Q99986	Neurodegenerative disease
uniprotkb:A0A7P0T8N0	Neurodegenerative disease
uniprotkb:A0A7P0T8M0	Neurodegenerative disease
uniprotkb:A0A7P0TA07	Neurodegenerative disease
uniprotkb:H0YJF7	Neurodegenerative disease
uniprotkb:A0A7P0TB08	Neurodegenerative disease
uniprotkb:A0A7P0TBB8	Neurodegenerative disease
uniprotkb:A0A7P0TAI5	Neurodegenerative disease
uniprotkb:A0A7P0TB15	Neurodegenerative disease
uniprotkb:A0A7P0TB37	Neurodegenerative disease
uniprotkb:A0A7P0T9B1	Neurodegenerative disease
uniprotkb:A0A7P0T814	Neurodegenerative disease
uniprotkb:A0A7P0TA16	Neurodegenerative disease
uniprotkb:A0A7P0T9I1	Neurodegenerative disease
uniprotkb:A0A7P0T9C6	Neurodegenerative disease
uniprotkb:A0A7P0Z462	Neurodegenerative disease
uniprotkb:A0A7P0TBE4	Neurodegenerative disease
uniprotkb:H0YJ50	Neurodegenerative disease
uniprotkb:A0A7P0T8Z5	Neurodegenerative disease
uniprotkb:A0A7P0Z445	Neurodegenerative disease
uniprotkb:A0A7P0T952	Neurodegenerative disease
uniprotkb:A0A7P0Z4P9	Neurodegenerative disease
uniprotkb:A0A7P0Z4A4	Neurodegenerative disease
uniprotkb:A0A7P0T832	Neurodegenerative disease
uniprotkb:A0A7P0TBI6	Neurodegenerative disease
uniprotkb:Q9H307	Cancer
uniprotkb:G3V5F0	Cancer
uniprotkb:G3V579	Cancer
uniprotkb:O14965	Cancer
uniprotkb:A3KFJ1	Cancer
uniprotkb:A3KFJ2	Cancer
uniprotkb:Q5QPD2	Cancer
uniprotkb:Q5QPD4	Cancer
uniprotkb:Q5QPD1	Cancer
uniprotkb:A3KFJ0	Cancer
uniprotkb:Q9UJQ4	Coloboma
uniprotkb:Q6Y8G5	Coloboma
uniprotkb:Q9UJQ4	Cancer
uniprotkb:Q6Y8G5	Cancer
uniprotkb:A0A6Q8PFK6	Epilepsy
uniprotkb:A0A2R8Y488	Epilepsy
uniprotkb:A0A2R8YDN5	Epilepsy
uniprotkb:Q05639	Epilepsy
uniprotkb:A0A2U3TZH3	Epilepsy
uniprotkb:A0A2R8Y660	Epilepsy
uniprotkb:A0A7I2V3D2	Klinefelter syndrome
uniprotkb:Q8NFJ6	Klinefelter syndrome
uniprotkb:A0A7I2V3D2	Kallmann syndrome
uniprotkb:Q8NFJ6	Kallmann syndrome
uniprotkb:A0A7I2V3D2	Kallmann syndrome
uniprotkb:Q8NFJ6	Kallmann syndrome
uniprotkb:Q13424	Long QT syndrome
uniprotkb:Q13424	Long QT syndrome
uniprotkb:Q9H444	Cataract
uniprotkb:Q5JWU1	Epilepsy
uniprotkb:Q9H490	Epilepsy
uniprotkb:Q5JWU1	Melanoma
uniprotkb:Q9H490	Melanoma
uniprotkb:Q8N3U4	Urinary bladder cancer
uniprotkb:A0A8I5KVF8	Urinary bladder cancer
uniprotkb:B1AMT0	Urinary bladder cancer
uniprotkb:E7ERE6	Urinary bladder cancer
uniprotkb:A0A8I5KUG8	Urinary bladder cancer
uniprotkb:B1AMS8	Urinary bladder cancer
